drummer,session,id,style,bpm,beat_type,time_signature,duration,split,midi_filename,audio_filename,kit_name,split_set
drummer1,drummer1/session2,drummer1/session2/80,punk,144,fill,4-4,1.6616780045351474,train,drummer1/session2/80_punk_144_fill_4-4_37.midi,drummer1/session2/80_punk_144_fill_4-4_37.wav,Live Fusion,train
drummer1,drummer1/session1,drummer1/session1/224,rock/halftime,140,fill,4-4,1.7142857142857142,train,drummer1/session1/224_rock-halftime_140_fill_4-4_43.midi,drummer1/session1/224_rock-halftime_140_fill_4-4_43.wav,Funk Rock,test
drummer1,drummer1/session2,drummer1/session2/149,gospel,120,fill,4-4,1.8531292517006803,validation,drummer1/session2/149_gospel_120_fill_4-4_41.midi,drummer1/session2/149_gospel_120_fill_4-4_41.wav,Cassette (Lo-Fi Compress),train
drummer1,drummer1/session1,drummer1/session1/260,funk/purdieshuffle,130,fill,4-4,1.8461451247165528,train,drummer1/session1/260_funk-purdieshuffle_130_fill_4-4_52.midi,drummer1/session1/260_funk-purdieshuffle_130_fill_4-4_52.wav,909 Simple,train
drummer1,drummer1/session2,drummer1/session2/198,rock,115,fill,4-4,1.726984126984127,validation,drummer1/session2/198_rock_115_fill_4-4_24.midi,drummer1/session2/198_rock_115_fill_4-4_24.wav,Heavy Metal,test
drummer1,drummer1/session2,drummer1/session2/119,afrocuban/bembe,122,fill,4-4,1.9672108843537413,test,drummer1/session2/119_afrocuban-bembe_122_fill_4-4_22.midi,drummer1/session2/119_afrocuban-bembe_122_fill_4-4_22.wav,Dry & Heavy (Folk Rock),train
drummer1,drummer1/session1,drummer1/session1/66,jazz,125,fill,4-4,1.92,train,drummer1/session1/66_jazz_125_fill_4-4_6.midi,drummer1/session1/66_jazz_125_fill_4-4_6.wav,Compact Lite (w/ Tambourine HH),train
drummer1,drummer1/session1,drummer1/session1/231,rock/halftime,140,fill,4-4,3.4285714285714284,train,drummer1/session1/231_rock-halftime_140_fill_4-4_19.midi,drummer1/session1/231_rock-halftime_140_fill_4-4_19.wav,Raw Dnb (Layered Hybrid),train
drummer1,drummer1/session2,drummer1/session2/114,afrocuban/bembe,122,fill,4-4,1.9672108843537413,train,drummer1/session2/114_afrocuban-bembe_122_fill_4-4_14.midi,drummer1/session2/114_afrocuban-bembe_122_fill_4-4_14.wav,ClassicMetal (80s-90s),validation
drummer1,drummer1/session2,drummer1/session2/194,rock,115,fill,4-4,2.086938775510204,train,drummer1/session2/194_rock_115_fill_4-4_53.midi,drummer1/session2/194_rock_115_fill_4-4_53.wav,Unplugged,train
drummer1,drummer1/session2,drummer1/session2/41,punk,128,fill,4-4,1.8619501133786849,train,drummer1/session2/41_punk_128_fill_4-4_16.midi,drummer1/session2/41_punk_128_fill_4-4_16.wav,Modern Funk,train
drummer1,drummer1/session2,drummer1/session2/63,punk,144,fill,4-4,1.6666666666666667,train,drummer1/session2/63_punk_144_fill_4-4_53.midi,drummer1/session2/63_punk_144_fill_4-4_53.wav,Unplugged,test
drummer1,drummer1/session2,drummer1/session2/158,gospel,120,fill,4-4,1.8882993197278912,train,drummer1/session2/158_gospel_120_fill_4-4_22.midi,drummer1/session2/158_gospel_120_fill_4-4_22.wav,Dry & Heavy (Folk Rock),train
drummer1,drummer1/session1,drummer1/session1/64,jazz,125,fill,4-4,1.92,train,drummer1/session1/64_jazz_125_fill_4-4_33.midi,drummer1/session1/64_jazz_125_fill_4-4_33.wav,Shuffle (Blues),test
